PollStartDate,PollEndDate,PollMedianDate,Pollster,ALP,LIB,NAT,ONP,GRN,DEM,FF,PUP,OTH,COA,ALP_TPP,N,
1/01/00,29/02/00,30/01/00,Morgan,44,31.5,2,4,6,3.5,,,9,,58,775,100
1/01/00,31/03/00,15/02/00,Newspoll,43,37,6,1,5,3,,,5,43,,,100
1/03/00,30/04/00,31/03/00,Morgan,41.5,33,3.5,3,7,4.5,,,7.5,,52.5,790,100
1/04/00,30/06/00,16/05/00,Newspoll,40,37,6,2,4,3,,,8,43,,,100
1/05/00,30/06/00,31/05/00,Morgan,44,31.5,2.5,4,6.5,4.5,,,7,,57.5,845,100
1/07/00,31/08/00,31/07/00,Morgan,41.5,31.5,4,4,7.5,4,,,7.5,,56,789,100
1/07/00,30/09/00,15/08/00,Newspoll,43,35,6,3,4,4,,,5,41,,,100
1/09/00,31/10/00,1/10/00,Morgan,39,36,3.5,3,5.5,4.5,,,8.5,,52,687,100
1/10/00,31/12/00,15/11/00,Newspoll,41,34,8,5,5,2,,,5,42,,,100
1/11/00,31/12/00,1/12/00,Morgan,44,32,1.5,4,7.5,2.5,,,8.5,,56,658,100
7/02/01,8/02/01,7/02/01,Newspoll,39,35,3,7,5,3,,,8,38,,,100
1/03/01,30/04/01,31/03/01,Morgan,44.5,28,2,8,7.5,4.5,,,5.5,,63,739,100
1/05/01,30/06/01,31/05/01,Morgan,44.5,29,2,7,8,4.5,,,5,,60.5,1008,100
1/07/01,31/08/01,31/07/01,Morgan,43,34,,6,7.5,4,,,5.5,,59,813,100
1/07/01,30/09/01,15/08/01,Newspoll,35,37,5,6,9,3,,,5,42,,,100
1/09/01,31/10/01,1/10/01,Morgan,41.5,37,,6,6.5,4,,,5,,52,733,100
1/10/01,31/12/01,15/11/01,Newspoll,35,41,3,5,9,3,,,4,44,,,100
1/11/01,31/12/01,1/12/01,Morgan,40,38.5,,4,8,5,,,4.5,,51.5,939,100
1/01/02,28/02/02,30/01/02,Morgan,38.5,40,,3,8.5,4.5,,,5.5,,50.5,,100
1/01/02,31/03/02,14/02/02,Newspoll,34,37,4,2,6,3,,,14,41,,,100
1/03/02,30/04/02,31/03/02,Morgan,39,39.5,,3,10.5,4,,,5,,53.5,701,101
1/04/02,30/06/02,16/05/02,Newspoll,39,36,5,2,6,2,,,10,41,,,100
1/05/02,30/06/02,31/05/02,Morgan,42,37.5,,3.5,7,4.5,,,5.5,,54,822,100
1/07/02,31/08/02,31/07/02,Morgan,40,39,,3,8.5,2.5,,,7,,52.5,724,100
1/07/02,30/09/02,15/08/02,Newspoll,37,37,3,2,8,2,,,11,40,,,100
1/09/02,31/10/02,1/10/02,Morgan,41.5,37,,1,13,1.5,,,6,,54.5,732,100
1/10/02,31/12/02,15/11/02,Newspoll,35,38,4,1,10,2,,,10,42,,,100
1/11/02,31/12/02,1/12/02,Morgan,41,42,,1,8.5,2.5,,,5,,50,767,100
1/01/03,28/02/03,30/01/03,Morgan,41,41,,2,8.5,2.5,,,5,,50,765,100
1/01/03,31/03/03,14/02/03,Newspoll,36,38,4,1,8,2,,,11,42,,,100
1/03/03,30/04/03,31/03/03,Morgan,43,36,,1.5,12,2.5,,,5,,55.5,703,100
1/04/03,30/06/03,16/05/03,Newspoll,39,36,3,1,9,1,,,11,39,,,100
1/05/03,30/06/03,31/05/03,Morgan,44,40.5,,1,9,1.5,,,4,,52,787,100
1/07/03,31/08/03,31/07/03,Morgan,44.5,40.5,,1,7,1.5,,,4,,52.5,,98.5
